Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,30.940001,31.719999,30.750000,31.070000,27.554752,54350100
2016-11-02,30.990000,31.040001,30.360001,30.629999,27.164536,36084500
2016-11-03,30.700001,30.700001,29.830000,29.889999,26.508255,36329200
2016-11-04,29.910000,30.370001,29.900000,30.000000,26.605812,35028200
2016-11-07,30.230000,30.440001,30.080000,30.379999,26.942816,30877500
2016-11-08,30.129999,30.450001,29.959999,30.000000,26.871161,35451300
2016-11-09,33.009998,33.369999,31.500000,32.119999,28.770054,118753800
2016-11-10,33.320000,33.830002,32.849998,33.490002,29.997171,67275200
2016-11-11,33.220001,33.340000,32.189999,32.590000,29.191036,35803600
2016-11-14,32.849998,32.900002,32.130001,32.380001,29.002939,30568400
2016-11-15,32.759998,32.759998,31.879999,32.230000,28.868587,29614300
2016-11-16,32.200001,32.330002,31.930000,31.959999,28.626743,22641600
2016-11-17,32.009998,32.119999,31.680000,31.730000,28.420732,26093500
2016-11-18,31.950001,31.950001,31.440001,31.480000,28.196806,24156400
2016-11-21,31.510000,31.690001,31.490000,31.570000,28.277418,21872800
2016-11-22,31.930000,31.990000,31.049999,31.330000,28.062452,26434800
2016-11-23,31.180000,31.450001,30.629999,31.420000,28.143061,21252300
2016-11-25,31.600000,31.740000,31.549999,31.690001,28.384903,10452900
2016-11-28,31.690001,31.840000,31.500000,31.540001,28.250546,17735200
2016-11-29,31.850000,31.969999,31.610001,31.920000,28.590916,21642200
2016-11-30,31.980000,32.369999,31.750000,32.139999,28.787968,38519500
2016-12-01,32.250000,32.250000,31.400000,31.459999,28.178886,30606400
2016-12-02,31.540001,31.730000,31.360001,31.629999,28.331160,19007800
2016-12-05,31.740000,31.770000,31.389999,31.590000,28.295330,19300300
2016-12-06,31.650000,31.700001,31.430000,31.559999,28.268461,17706800
2016-12-07,31.330000,31.330000,30.610001,31.190001,27.937054,44053700
2016-12-08,30.840000,31.100000,30.510000,30.940001,27.713125,35493000
2016-12-09,31.110001,31.920000,31.090000,31.700001,28.393862,29350800
2016-12-12,31.700001,32.650002,31.660000,32.400002,29.020855,32255700
2016-12-13,32.810001,32.880001,32.560001,32.830002,29.406010,28760300
2016-12-14,32.919998,33.299999,32.639999,32.820000,29.397049,36347100
2016-12-15,32.630001,32.959999,32.599998,32.750000,29.334354,20877100
2016-12-16,32.880001,32.939999,32.520000,32.840000,29.414965,37585400
2016-12-19,32.759998,32.970001,32.720001,32.830002,29.406010,24930700
2016-12-20,32.779999,32.880001,32.570000,32.849998,29.423918,25074300
2016-12-21,32.730000,32.930000,32.330002,32.400002,29.020855,18739700
2016-12-22,32.290001,32.430000,32.049999,32.340000,28.967113,18613300
2016-12-23,32.410000,32.560001,32.360001,32.480000,29.092508,10804500
2016-12-27,32.570000,32.720001,32.480000,32.529999,29.137291,11220400
2016-12-28,32.500000,32.689999,32.340000,32.349998,28.976068,13938800
2016-12-29,32.389999,32.619999,32.369999,32.490002,29.101471,14067600
2016-12-30,32.340000,32.599998,32.310001,32.480000,29.092508,18866600
2017-01-03,32.700001,33.000000,32.590000,33.000000,29.558277,22193400
2017-01-04,33.130001,33.349998,33.029999,33.290001,29.818033,21588200
2017-01-05,33.369999,33.689999,33.119999,33.610001,30.104660,20003400
2017-01-06,33.660000,33.700001,33.340000,33.480000,29.988216,17474600
2017-01-09,33.430000,33.669998,33.380001,33.470001,29.979261,20455300
2017-01-10,33.590000,33.660000,33.320000,33.439999,29.952387,19397300
2017-01-11,33.369999,33.540001,32.400002,32.830002,29.406010,40439400
2017-01-12,32.529999,32.619999,32.299999,32.599998,29.199993,31760900
2017-01-13,32.669998,32.779999,32.330002,32.520000,29.128344,20291200
2017-01-17,32.349998,32.380001,31.780001,32.060001,28.716316,32104500
2017-01-18,32.090000,32.279999,31.950001,32.029999,28.689442,21469700
2017-01-19,32.060001,32.090000,31.530001,31.700001,28.393862,26144100
2017-01-20,31.719999,32.119999,31.660000,31.770000,28.456562,30159700
2017-01-23,31.680000,31.820000,31.440001,31.459999,28.178886,24761000
2017-01-24,31.400000,31.459999,30.900000,31.150000,27.901220,29625400
2017-01-25,31.360001,31.520000,31.100000,31.290001,28.026625,32168200
2017-01-26,31.400000,31.469999,31.200001,31.280001,28.017664,27185500
2017-01-27,31.469999,31.540001,31.260000,31.420000,28.143061,24054700
2017-01-30,31.469999,31.500000,31.059999,31.309999,28.044535,27464800
2017-01-31,31.010000,31.930000,30.930000,31.730000,28.420732,37450000
2017-02-01,31.510000,31.690001,31.260000,31.670000,28.655989,28493300
2017-02-02,31.469999,31.730000,31.320000,31.730000,28.710279,23372300
2017-02-03,32.049999,32.240002,31.920000,32.090000,29.036016,35991700
2017-02-06,32.000000,32.330002,31.940001,32.230000,29.162693,24534400
2017-02-07,32.320000,32.349998,31.940001,32.080002,29.026970,23512000
2017-02-08,31.920000,32.349998,31.920000,32.139999,29.081255,19160100
2017-02-09,32.139999,32.540001,32.139999,32.380001,29.298416,23816300
2017-02-10,32.410000,32.450001,32.230000,32.349998,29.271273,21907200
2017-02-13,32.439999,32.689999,32.439999,32.610001,29.506531,20620100
2017-02-14,32.529999,32.770000,32.349998,32.750000,29.633205,22965400
2017-02-15,32.779999,33.580002,32.689999,33.509998,30.320877,45574500
2017-02-16,33.450001,33.889999,33.220001,33.619999,30.420408,38332300
2017-02-17,33.590000,33.889999,33.529999,33.619999,30.420408,34992700
2017-02-21,33.570000,33.799999,33.480000,33.619999,30.420408,24090700
2017-02-22,33.570000,33.750000,33.250000,33.590000,30.393265,27207300
2017-02-23,33.700001,34.119999,33.580002,34.060001,30.818537,30477100
2017-02-24,34.169998,34.349998,33.990002,34.259998,30.999495,24712000
2017-02-27,34.230000,34.459999,34.160000,34.279999,31.017599,21830300
2017-02-28,34.099998,34.259998,33.910000,34.119999,30.872826,27480700
2017-03-01,34.270000,34.529999,34.049999,34.419998,31.144268,32291200
2017-03-02,34.459999,34.750000,34.419998,34.509998,31.225708,25572100
2017-03-03,34.509998,34.650002,34.360001,34.520000,31.234755,18786300
2017-03-06,34.330002,34.470001,34.080002,34.349998,31.080931,18191900
2017-03-07,33.869999,34.200001,33.750000,33.990002,30.755194,29206200
2017-03-08,33.910000,34.099998,33.720001,33.910000,30.682810,22647400
2017-03-09,33.880001,34.139999,33.779999,34.049999,30.809483,19164700
2017-03-10,34.139999,34.320000,34.000000,34.110001,30.863771,19179000
2017-03-13,34.139999,34.150002,33.910000,34.110001,30.863771,18964000
2017-03-14,34.020000,34.330002,33.980000,34.220001,30.963310,14766100
2017-03-15,34.220001,34.700001,34.180000,34.630001,31.334284,23035900
2017-03-16,34.570000,34.630001,34.250000,34.430000,31.153326,20698500
2017-03-17,34.459999,34.580002,34.270000,34.320000,31.053791,43392900
2017-03-20,34.400002,34.500000,34.320000,34.380001,31.108082,17491000
2017-03-21,34.480000,34.610001,34.180000,34.250000,30.990452,31388500
2017-03-22,34.299999,34.540001,33.990002,34.470001,31.189518,26117900
2017-03-23,34.320000,34.560001,34.230000,34.290001,31.026648,20283400
2017-03-24,34.270000,34.270000,33.939999,34.000000,30.764248,27118700
2017-03-27,33.740002,34.310001,33.740002,34.180000,30.927114,17886200
2017-03-28,34.060001,34.259998,33.970001,34.160000,30.909018,18337500
2017-03-29,34.160000,34.450001,34.110001,34.330002,31.062843,17281000
2017-03-30,34.189999,34.439999,34.150002,34.349998,31.080931,14993800
2017-03-31,34.209999,34.380001,34.160000,34.209999,30.954262,18611800
2017-04-03,34.110001,34.349998,34.099998,34.240002,30.981407,18088000
2017-04-04,34.180000,34.500000,34.049999,34.340000,31.071886,19282900
2017-04-05,34.330002,34.520000,34.150002,34.189999,30.936161,19280100
2017-04-06,34.139999,34.349998,34.060001,34.110001,30.863771,16285300
2017-04-07,34.090000,34.250000,34.040001,34.099998,30.854731,13973500
2017-04-10,34.130001,34.220001,33.970001,34.040001,30.800438,15989300
2017-04-11,34.020000,34.080002,33.740002,33.930000,30.700903,19123000
2017-04-12,33.880001,33.990002,33.709999,33.919998,30.691856,24689400
